Timestamp,Angle,Velocity_reconstructed,Phase_deg,Stage
568941,-12.401,-80.729,-87.615,2
568964,-14.521,-95.419,-95.536,1
568987,-16.93,-99.169,-101.598,1
569010,-19.338,-90.587,-107.161,1
569033,-21.427,-70.311,-113.697,1
569056,-22.903,-40.984,-125.287,1
569079,-23.552,-6.818,-174.849,1
569102,-23.286,27.186,97.396,4
569125,-22.161,56.227,80.088,3
569148,-20.359,76.664,72.228,3
569171,-18.155,86.721,66.129,3
569194,-15.858,86.769,60.028,3
569218,-13.755,79.079,53.153,3
569241,-12.052,67.117,45.198,3
569264,-10.826,54.542,36.527,3
569287,-10.019,44.179,28.342,3
569310,-9.456,37.251,21.934,3
569333,-8.928,33.087,17.295,3
569356,-8.286,29.411,12.71,3
569379,-7.519,23.123,5.581,3
569402,-6.778,11.355,-6.83,2
569425,-6.336,-7.522,-26.21,2
569448,-6.49,-33.234,-49.501,2
569471,-7.462,-63.475,-69.61,2
569494,-9.333,-94.339,-83.833,2
569517,-12.024,-121.195,-93.676,1
569540,-15.318,-139.733,-101.008,1
569563,-18.909,-146.927,-107.131,1
569586,-22.46,-141.666,-112.991,1
569609,-25.657,-124.937,-119.486,1
569632,-28.255,-99.538,-127.816,1
569655,-30.114,-69.44,-139.978,1
569678,-31.208,-38.968,-158.953,1
569701,-31.615,-11.995,174.859,4
569724,-31.495,8.678,150.413,4
569747,-31.042,21.657,135.393,4
569770,-30.449,26.964,128.813,4
569793,-29.872,25.79,128.483,4
569816,-29.415,20.07,133.455,4
569839,-29.124,12.013,143.023,4
569862,-29.002,3.679,155.027,4
569885,-29.024,-3.31,165.768,4
569908,-29.149,-7.926,172.57,4
569931,-29.331,-9.751,174.942,4
569954,-29.524,-8.899,173.492,4
569977,-29.686,-5.888,169.106,4
570000,-29.783,-1.493,162.837,4
570023,-29.787,3.407,155.896,4
570046,-29.685,7.977,149.434,4
570070,-29.475,11.576,144.237,4
570093,-29.171,13.881,140.589,4
570116,-28.798,14.999,138.279,4
570139,-28.382,15.499,136.58,4
570162,-27.943,16.353,134.196,4
570185,-27.485,18.762,129.45,4
570208,-26.987,23.866,121.158,4
570231,-26.397,32.405,110.031,4
570254,-25.634,44.382,98.609,4
570277,-24.601,58.857,88.912,3
570300,-23.207,73.939,81.229,3
570323,-21.407,87.028,74.926,3
570347,-19.23,95.302,69.222,3
570371,-16.807,96.33,63.367,3
570394,-14.364,88.697,56.491,3
570417,-12.176,72.449,47.21,3
570445,-10.507,49.235,32.806,3
570469,-9.54,22.087,8.542,3
570492,-9.336,-5.131,-25.181,2
570515,-9.829,-28.486,-52.818,2
570538,-10.851,-44.774,-68.605,2
570561,-12.181,-52.2,-77.061,2
570584,-13.582,-50.751,-81.23,2
570607,-14.832,-42.185,-81.946,2
570630,-15.753,-29.606,-78.065,2
570653,-16.247,-16.721,-65.644,2
570676,-16.323,-6.939,-42.611,2
570699,-16.114,-2.548,-26.941,2
570722,-15.849,-4.182,-31.733,2
570745,-15.783,-10.753,-49.968,2
570768,-16.106,-19.86,-69.555,2
570791,-16.863,-28.584,-84.352,2
570814,-17.947,-34.41,-94.979,1
570837,-19.138,-36.001,-103.222,1
570860,-20.197,-33.584,-110.306,1
570883,-20.963,-28.821,-116.833,1
570906,-21.406,-24.234,-122.516,1
570929,-21.63,-22.378,-125.836,1
570952,-21.838,-25.033,-125.931,1
570975,-22.253,-32.674,-124.908,1
570998,-23.058,-44.361,-124.862,1
571021,-24.335,-58.041,-126.09,1
571044,-26.049,-71.152,-128.28,1
571067,-28.065,-81.29,-131.208,1
571090,-30.197,-86.755,-134.816,1
571113,-32.263,-86.832,-139.181,1
571136,-34.14,-81.769,-144.469,1
571159,-35.774,-72.54,-150.876,1
571182,-37.17,-60.501,-158.499,1
571205,-38.346,-47.074,-167.144,1
571228,-39.308,-33.536,-176.213,1
571252,-40.029,-20.922,175.149,4
571275,-40.479,-10.005,167.686,4
571298,-40.649,-1.299,161.802,4
571321,-40.576,4.953,157.586,4
571344,-40.337,8.819,154.923,4
571367,-40.025,10.694,153.545,4
571390,-39.715,11.284,153.02,4
571413,-39.447,11.511,152.751,4
571436,-39.212,12.348,152.059,4
571459,-38.965,14.626,150.324,4
571482,-38.642,18.853,147.138,4
571505,-38.178,25.098,142.411,4
571528,-37.525,32.959,136.415,4
571551,-36.659,41.635,129.725,4
571574,-35.581,50.069,123.032,4
571597,-34.315,57.133,116.912,4
571620,-32.907,61.833,111.709,4
571645,-31.416,63.489,107.553,4
571668,-29.916,61.877,104.458,4
571691,-28.483,57.31,102.394,4
571714,-27.182,50.638,101.307,4
571737,-26.061,43.146,101.044,4
571760,-25.128,36.352,101.122,4
571783,-24.356,31.725,100.432,4
571807,-23.681,30.366,97.482,4
571830,-23.015,32.719,91.779,4
571854,-22.264,38.386,84.707,3
571878,-21.349,46.098,77.972,3
571902,-20.227,53.881,72.123,3
571925,-18.908,59.401,66.818,3
571948,-17.462,60.439,61.352,3
571971,-16.014,55.404,54.688,3
571994,-14.729,43.761,44.869,3
572017,-13.779,26.272,27.129,3
572040,-13.308,4.978,-8.085,2
572063,-13.397,-17.105,-50.615,2
572086,-14.044,-36.522,-74.782,2
572109,-15.158,-50.057,-87.043,2
572132,-16.565,-55.395,-94.487,1
572156,-18.037,-51.617,-99.941,1
572179,-19.32,-39.41,-104.805,1
572202,-20.177,-20.919,-110.944,1
572226,-20.437,0.744,131.653,4
572249,-20.037,22.213,71.544,3
572272,-19.042,40.629,65.623,3
572296,-17.621,54.231,60.932,3
572320,-15.992,62.624,56.411,3
572344,-14.35,66.624,51.934,3
572367,-12.815,67.745,47.597,3
572391,-11.41,67.477,43.534,3
572415,-10.089,66.592,39.701,3
572438,-8.776,64.712,35.676,3
572466,-7.425,60.298,30.57,3
572489,-6.068,51.112,22.946,3
572512,-4.839,35.025,10.584,3
572536,-3.964,10.954,-9.236,2
572560,-3.708,-20.388,-35.553,2
572583,-4.304,-56.177,-59.711,2
572606,-5.878,-91.742,-76.412,2
572630,-8.402,-121.411,-87.349,2
572653,-11.679,-139.729,-95.069,1
572676,-15.356,-142.778,-101.237,1
572699,-18.975,-129.22,-107.012,1
572722,-22.047,-100.791,-113.691,1
572745,-24.155,-62.054,-124.394,1
572768,-25.052,-19.471,-156.247,1
572791,-24.73,20.004,115.01,4
572814,-23.428,50.43,86.704,3
572837,-21.559,68.098,76.497,3
572860,-19.591,72.151,69.795,3
572883,-17.92,64.466,63.586,3
572906,-16.776,48.892,56.008,3
572929,-16.2,30.106,43.863,3
572952,-16.079,12.424,19.308,3
572975,-16.225,-1.098,-21.888,2
572998,-16.451,-9.079,-49.924,2
573021,-16.625,-11.717,-58.329,2
573044,-16.695,-10.296,-55.23,2
573067,-16.672,-6.529,-43.388,2
573090,-16.599,-1.946,-25.662,2
573113,-16.517,2.484,-7.973,2
573136,-16.44,6.453,5.788,3
573159,-16.35,10.164,15.912,3
573182,-16.203,14.038,23.595,3
573205,-15.945,18.417,29.344,3
573228,-15.532,23.364,33.218,3
573251,-14.94,28.611,35.305,3
573274,-14.173,33.659,35.843,3
573297,-13.262,37.946,35.128,3
573320,-12.257,41.037,33.44,3
573343,-11.214,42.734,31.028,3
573366,-10.187,43.078,28.113,3
573389,-9.217,42.256,24.865,3
573412,-8.326,40.434,21.356,3
573436,-7.518,37.615,17.494,3
573459,-6.789,33.573,12.988,3
573482,-6.136,27.93,7.392,3
573505,-5.571,20.348,0.247,3
573528,-5.126,10.807,-8.63,2
573551,-4.855,-0.15,-18.763,2
573574,-4.814,-11.308,-28.874,2
573597,-5.05,-20.889,-37.376,2
573620,-5.565,-26.91,-42.995,2
573643,-6.296,-27.71,-44.786,2
573666,-7.107,-22.534,-41.606,2
573689,-7.805,-11.956,-31.96,2
573712,-8.185,2.001,-16.2,2
573736,-8.1,16.154,-0.356,2
573759,-7.527,26.841,8.933,3
573782,-6.594,30.811,10.485,3
573805,-5.565,26.102,5.032,3
573828,-4.765,12.627,-7.267,2
573851,-4.486,-7.713,-25.513,2
573874,-4.911,-31.456,-45.506,2
573897,-6.063,-54.428,-62.191,2
573920,-7.818,-72.8,-74.186,2
573943,-9.948,-84.047,-82.569,2
573966,-12.193,-87.563,-88.651,2
573989,-14.33,-84.755,-93.425,1
574012,-16.221,-78.613,-97.645,1
574035,-17.841,-72.871,-101.903,1
574058,-19.272,-70.974,-106.464,1
574081,-20.684,-75.129,-111.052,1
574104,-22.285,-85.679,-115.189,1
574127,-24.271,-100.945,-118.812,1
574151,-26.762,-117.581,-122.258,1
574174,-29.761,-131.362,-125.955,1
574197,-33.13,-138.194,-130.318,1
574220,-36.605,-135.098,-135.809,1
574243,-39.852,-120.916,-143.042,1
